Catalyst,x,y,z,ddG (% ee)
10_7_4,61.49581496,31.43569851,-45.7406946,0
10_7_5,59.35706554,29.04888288,-50.31653771,0
10_7_6,59.36272809,27.37113326,-51.54676824,0
10_8_1,67.19279635,24.86050108,-48.14766229,0
10_8_2,68.91429768,23.67661683,-46.1496522,0
10_8_3,56.58295596,18.05926945,-63.43981829,0
10_8_4,55.0771419,20.13461877,-63.93589297,0
10_8_5,68.35971149,23.59646751,-47.0904538,0
10_8_6,57.01642975,16.34838399,-63.57535265,0
10_9_1,51.737193,-21.80391034,-106.5584544,0
10_9_2,110.543264,35.57831045,-22.99852794,0
10_9_3,83.67806528,-43.56452645,-75.1094962,0
10_9_4,78.60935469,-34.84037921,-84.47606395,0
10_9_5,40.07971163,-8.020346752,-113.0681729,0
10_9_6,68.43079405,-30.50197233,-94.54973324,0
11_1_1,-12.03601617,-20.04957885,-27.73019041,1.559882119
11_1_2,-11.89484328,-19.947321,-27.69006718,1.105211867
11_1_4,-12.0093719,-19.99640899,-27.68792106,1.640249758
11_1_5,-11.8768879,-19.96474296,-27.70087185,0
11_1_6,-11.92754548,-20.21828459,-27.88855034,0
11_10_1,10.78303704,8.673380858,34.61252202,0
11_10_2,10.66969471,8.562667507,34.56945323,0
11_10_3,10.81541629,8.687798989,34.66922821,0
11_10_4,10.71742211,8.638674798,34.58350787,0.50183334
11_10_5,10.63010012,8.473568108,34.68940438,0
11_10_6,10.64731092,8.391638625,34.92397347,0
11_11_1,7.627622436,11.79886001,-14.67309396,0.554981373
11_11_2,7.34376371,11.52577479,-14.82187277,0.220468126
11_11_3,7.645997263,11.84245995,-14.70347648,0
11_11_4,7.365301673,11.58325183,-14.8602856,0
11_11_5,7.714100887,11.82097493,-14.52242654,0
11_11_6,8.224689478,12.26752476,-14.42249078,0
11_2_1,-4.541159129,-0.458442903,4.170646542,0.338204718
11_2_2,-4.560132267,-0.546041809,3.923387387,0.574151715
11_2_4,-4.515305485,-0.480984118,4.081782227,0.534634993
11_2_5,-4.630763427,-0.555065569,3.974583717,0
